"id do Tweet","link permanente do Tweet","texto do Tweet","horário","impressões","engajamentos","taxa de engajamento","retweets","respostas","favoritos","cliques no perfil do usuário:","cliques no URL","cliques em hashtags:","expansões de detalhes:","cliques no link permanente","aberturas de aplicativos","instalações de aplicativo:","seguiram","Tweet enviado por e-mail","número de telefone discado","visualizações da mídia","engajamentos com mídia","impressões promovido(a)(s)","engajamentos promovido(a)(s)","taxa de engajamento promovido(a)(s)","retweets promovido(a)(s)","respostas promovido(a)(s)","favoritos promovido(a)(s)","cliques no perfil do usuário: promovido(a)(s)","cliques no URL promovido(a)(s)","cliques em hashtags: promovido(a)(s)","expansões de detalhes: promovido(a)(s)","cliques no link permanente promovido(a)(s)","aberturas de aplicativos promovido(a)(s)","instalações de aplicativo: promovido(a)(s)","seguiram promovido(a)(s)","Tweet enviado por e-mail promovido(a)(s)","número de telefone discado promovido(a)(s)","visualizações da mídia promovido(a)(s)","engajamentos com mídia promovido(a)(s)"
"1509879427584466949","https://twitter.com/vayno/status/1509879427584466949","Top 10 mousepads foda https://t.co/zqpR0cjYBX","2022-04-01 13:04 +0000","117.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1509879065699835910","https://twitter.com/vayno/status/1509879065699835910","Dormi de conchinha hoje, talvez não a que eu queria, mas a que eu merecia","2022-04-01 13:03 +0000","98.0","6.0","0.061224489795918366","0.0","1.0","1.0","0.0","0.0","0.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1509713946357510147","https://twitter.com/vayno/status/1509713946357510147","HAHAHAHAHAHAHAHAHAHAHAHAHAAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAAHAHAHAHAHAHAHAHAHAHAHA https://t.co/J8Zxudf9kR","2022-04-01 02:07 +0000","69.0","2.0","0.028985507246376812","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1509684592537653254","https://twitter.com/vayno/status/1509684592537653254","I just wanna see how beautiful you are","2022-04-01 00:10 +0000","82.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1509603015241740299","https://twitter.com/vayno/status/1509603015241740299","esse mês foi tão rápido? ou conturbado? não sei, só sei que daqui a 4 dias tem capitulo novo de Owari

nunca fui triste

irra","2022-03-31 18:46 +0000","76.0","2.0","0.02631578947368421","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1509587300392525827","https://twitter.com/vayno/status/1509587300392525827","Vou fazer uma dessas tbm https://t.co/vbz9cCRAns","2022-03-31 17:43 +0000","58.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1509586884246310916","https://twitter.com/vayno/status/1509586884246310916","@ApenasDaron Vou curtir duas vezes pra gostar muito de ti ou ter dois filhos com o nome Sávio Douglas Junior Primeiro e Sávio Douglas Junior Segundo","2022-03-31 17:42 +0000","85.0","4.0","0.047058823529411764","0.0","1.0","1.0","2.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1509586188570669056","https://twitter.com/vayno/status/1509586188570669056","@demonallchan Eu dou o amor, trauma mesmo é a pessoa nunca mais olhar pro anime de vampiro gay sem lembrar de mim","2022-03-31 17:39 +0000","33.0","1.0","0.030303030303030304","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1509560762213220358","https://twitter.com/vayno/status/1509560762213220358","Eu https://t.co/PbTXs4AEnI","2022-03-31 15:58 +0000","63.0","1.0","0.015873015873015872","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1509552477917614080","https://twitter.com/vayno/status/1509552477917614080","Eh a geração mãe, não tem o que fazer https://t.co/hHdqyTFzye","2022-03-31 15:25 +0000","122.0","1.0","0.00819672131147541","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
